Date,Adj Close
4/8/2010,81.61
4/7/2010,81.63
4/6/2010,81.5
4/5/2010,81.44
4/1/2010,81.67
3/31/2010,81.7
3/30/2010,81.64
3/29/2010,81.66
3/26/2010,81.62
3/25/2010,81.57
3/24/2010,81.54
3/23/2010,81.67
3/22/2010,81.7
3/19/2010,81.67
3/18/2010,81.73
3/17/2010,81.78
3/16/2010,81.76
3/15/2010,81.74
3/12/2010,81.71
3/11/2010,81.7
3/10/2010,81.8
3/9/2010,81.82
3/8/2010,81.76
3/5/2010,81.8
3/4/2010,81.87
3/3/2010,81.9
3/2/2010,81.91
3/1/2010,81.91
2/26/2010,81.92
2/25/2010,81.89
2/24/2010,81.82
2/23/2010,81.78
2/22/2010,81.71
2/19/2010,81.68
2/18/2010,81.71
2/17/2010,81.76
2/16/2010,81.83
2/12/2010,81.82
2/11/2010,81.75
2/10/2010,81.72
2/9/2010,81.81
2/8/2010,81.89
2/5/2010,81.95
2/4/2010,81.82
2/3/2010,81.7
2/2/2010,81.76
2/1/2010,81.75
1/29/2010,81.79
1/28/2010,81.71
1/27/2010,81.67
1/26/2010,81.7
1/25/2010,81.69
1/22/2010,81.76
1/21/2010,81.69
1/20/2010,81.62
1/19/2010,81.62
1/15/2010,81.6
1/14/2010,81.53
1/13/2010,81.46
1/12/2010,81.52
1/11/2010,81.46
1/8/2010,81.42
1/7/2010,81.34
1/6/2010,81.36
1/5/2010,81.35
1/4/2010,81.25
12/31/2009,81.14
12/30/2009,81.24
12/29/2009,81.27
12/28/2009,81.22
12/24/2009,81.33
12/23/2009,81.43
12/22/2009,81.43
12/21/2009,81.53
12/18/2009,81.66
12/17/2009,81.71
12/16/2009,81.56
12/15/2009,81.5
12/14/2009,81.52
12/11/2009,81.61
12/10/2009,81.7
12/9/2009,81.72
12/8/2009,81.78
12/7/2009,81.71
12/4/2009,81.53
12/3/2009,81.73
12/2/2009,81.78
12/1/2009,81.85
11/30/2009,81.83
11/27/2009,81.82
11/25/2009,81.76
11/24/2009,81.73
11/23/2009,81.66
11/20/2009,81.67
11/19/2009,81.65
11/18/2009,81.62
11/17/2009,81.62
11/16/2009,81.6
11/13/2009,81.55
11/12/2009,81.53
11/11/2009,81.54
11/10/2009,81.45
11/9/2009,81.47
11/6/2009,81.47
11/5/2009,81.41
11/4/2009,81.34
11/3/2009,81.35
11/2/2009,81.36
10/30/2009,81.35
10/29/2009,81.25
10/28/2009,81.32
10/27/2009,81.2
10/26/2009,81.04
10/23/2009,81.12
10/22/2009,81.26
10/21/2009,81.25
10/20/2009,81.29
10/19/2009,81.25
10/16/2009,81.25
10/15/2009,81.2
10/14/2009,81.25
10/13/2009,81.36
10/12/2009,81.31
10/9/2009,81.21
10/8/2009,81.33
10/7/2009,81.4
10/6/2009,81.3
10/5/2009,81.35
10/2/2009,81.35
10/1/2009,81.32
9/30/2009,81.24
9/29/2009,81.15
9/28/2009,81.16
9/25/2009,81.17
9/24/2009,81.2
9/23/2009,81.18
9/22/2009,81.05
9/21/2009,81.07
9/18/2009,81.04
9/17/2009,81.12
9/16/2009,81
9/15/2009,81.11
9/14/2009,81.07
9/11/2009,81.12
9/10/2009,81.15
9/9/2009,81.1
9/8/2009,81.09
9/4/2009,81.08
9/3/2009,81.12
9/2/2009,81.2
9/1/2009,81.11
8/31/2009,81.15
8/28/2009,81.09
8/27/2009,81
8/26/2009,81.01
8/25/2009,80.97
8/24/2009,80.97
8/21/2009,80.87
8/20/2009,80.99
8/19/2009,81.01
8/18/2009,80.98
8/17/2009,80.99
8/14/2009,80.91
8/13/2009,80.85
8/12/2009,80.71
8/11/2009,80.69
8/10/2009,80.6
8/7/2009,80.47
8/6/2009,80.61
8/5/2009,80.61
8/4/2009,80.64
8/3/2009,80.7
7/31/2009,80.93
7/30/2009,80.79
7/29/2009,80.78
7/28/2009,80.83
7/27/2009,80.88
7/24/2009,80.94
7/23/2009,80.89
7/22/2009,81.03
7/21/2009,81.07
7/20/2009,80.98
7/17/2009,80.99
7/16/2009,81.01
7/15/2009,80.89
7/14/2009,81.08
7/13/2009,81.14
7/10/2009,81.19
7/9/2009,81.11
7/8/2009,81.15
7/7/2009,81.02
7/6/2009,81.03
7/2/2009,81
7/1/2009,80.92
6/30/2009,80.84
6/29/2009,80.85
6/26/2009,80.85
6/25/2009,80.81
6/24/2009,80.65
6/23/2009,80.66
6/22/2009,80.66
6/19/2009,80.56
6/18/2009,80.51
6/17/2009,80.64
6/16/2009,80.56
6/15/2009,80.47
6/12/2009,80.41
6/11/2009,80.33
6/10/2009,80.32
6/9/2009,80.33
6/8/2009,80.14
6/5/2009,80.36
6/4/2009,80.89
6/3/2009,80.96
6/2/2009,80.82
6/1/2009,80.85
5/29/2009,80.91
5/28/2009,80.8
5/27/2009,80.81
5/26/2009,80.83
5/22/2009,80.93
5/21/2009,80.91
5/20/2009,81.02
5/19/2009,80.91
5/18/2009,80.87
5/15/2009,80.94
5/14/2009,80.95
5/13/2009,80.92
5/12/2009,80.89
5/11/2009,80.9
5/8/2009,80.76
5/7/2009,80.7
5/6/2009,80.82
5/5/2009,80.77
5/4/2009,80.79
5/1/2009,80.81
4/30/2009,80.87
4/29/2009,80.8
4/28/2009,80.76
4/27/2009,80.84
4/24/2009,80.74
4/23/2009,80.74
4/22/2009,80.8
4/21/2009,80.8
4/20/2009,80.79
4/17/2009,80.72
4/16/2009,80.8
4/15/2009,80.92
4/14/2009,80.88
4/13/2009,80.81
4/9/2009,80.66
4/8/2009,80.75
4/7/2009,80.75
4/6/2009,80.72
4/3/2009,80.67
4/2/2009,80.85
4/1/2009,80.98
3/31/2009,81
3/30/2009,80.89
3/27/2009,80.81
3/26/2009,80.77
3/25/2009,80.67
3/24/2009,80.69
3/23/2009,80.79
3/20/2009,80.86
3/19/2009,80.76
3/18/2009,80.86
3/17/2009,80.55
3/16/2009,80.57
3/13/2009,80.68
3/12/2009,80.61
3/11/2009,80.58
3/10/2009,80.54
3/9/2009,80.59
3/6/2009,80.67
3/5/2009,80.72
3/4/2009,80.63
3/3/2009,80.71
3/2/2009,80.78
2/27/2009,80.6
2/26/2009,80.55
2/25/2009,80.51
2/24/2009,80.67
2/23/2009,80.72
2/20/2009,80.73
2/19/2009,80.67
2/18/2009,80.7
2/17/2009,80.83
2/13/2009,80.62
2/12/2009,80.77
2/11/2009,80.68
2/10/2009,80.7
2/9/2009,80.51
2/6/2009,80.54
2/5/2009,80.59
2/4/2009,80.57
2/3/2009,80.71
2/2/2009,80.79
1/30/2009,80.72
1/29/2009,80.67
1/28/2009,80.82
1/27/2009,80.85
1/26/2009,80.77
1/23/2009,80.87
1/22/2009,80.89
1/21/2009,80.85
1/20/2009,80.98
1/16/2009,80.94
1/15/2009,80.9
1/14/2009,80.99
1/13/2009,80.89
1/12/2009,80.88
1/9/2009,80.86
1/8/2009,80.8
1/7/2009,80.78
1/6/2009,80.84
1/5/2009,80.8
1/2/2009,80.64
12/31/2008,81.07
12/30/2008,81.11
12/29/2008,81.03
12/26/2008,80.86
12/24/2008,80.76
12/23/2008,80.74
12/22/2008,80.72
12/19/2008,80.87
12/18/2008,80.95
12/17/2008,80.91
12/16/2008,81.08
12/15/2008,81.05
12/12/2008,80.99
12/11/2008,80.95
12/10/2008,80.76
12/9/2008,80.86
12/8/2008,80.62
12/5/2008,80.73
12/4/2008,80.83
12/3/2008,80.81
12/2/2008,80.74
12/1/2008,80.75
11/28/2008,80.62
11/26/2008,80.57
11/25/2008,80.32
11/24/2008,80.26
11/21/2008,80.46
11/20/2008,80.59
11/19/2008,80.44
11/18/2008,80.32
11/17/2008,80.24
11/14/2008,80.09
11/13/2008,80.11
11/12/2008,80.31
11/11/2008,80.19
11/10/2008,80.13
11/7/2008,79.89
11/6/2008,80.03
11/5/2008,80
11/4/2008,79.86
11/3/2008,79.89
10/31/2008,79.74
10/30/2008,79.7
10/29/2008,79.63
10/28/2008,79.58
10/27/2008,79.49
10/24/2008,79.69
10/23/2008,79.62
10/22/2008,79.67
10/21/2008,79.56
10/20/2008,79.4
10/17/2008,79.45
10/16/2008,79.4
10/15/2008,79.44
10/14/2008,79.18
10/13/2008,79.16
10/10/2008,79.51
10/9/2008,79.39
10/8/2008,79.34
10/7/2008,79.68
10/6/2008,79.66
10/3/2008,79.5
10/2/2008,79.28
10/1/2008,79.11
9/30/2008,78.87
9/29/2008,79.18
9/26/2008,78.72
9/25/2008,78.72
9/24/2008,78.87
9/23/2008,78.7
9/22/2008,78.64
9/19/2008,78.58
9/18/2008,79.03
9/17/2008,79.28
9/16/2008,78.9
9/15/2008,79.04
9/12/2008,78.49
9/11/2008,78.48
9/10/2008,78.51
9/9/2008,78.49
9/8/2008,78.36
9/5/2008,78.4
9/4/2008,78.43
